OBS_1995-2004,HR_1995-2004,CCR_2085-2094
12.8601,0,9.5615
1.7974,3.8521,0
1.6064,0,0
0.7428,0,0
5.4705,5.0143,7.664
0.2128,0.0128,0
0,0,20.2257
3.6798,0,0
2.7878,0,0
4.8043,0,0
1.0638,0,10.6556
0,0,0
0,0,6.4601
0,0,0.3907
4.2321,1.1313,7.8025
30.4711,0,0.4146
32.1355,0,0
0.2038,0,0
0,1.697,0
0.2169,0,0.337
0,0,10.553
0,0.0119,7.2476
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5709,8.7016
0,4.5863,14.3515
3.9931,0,0.0178
0,0,0
0,0,0
0,13.5083,0.7721
0,0,0
0,1.0398,0.0077
0,0,30.8975
0,10.236,0.3109
60.4688,0,21.9587
4.9739,0.199,27.9181
0,5.7516,0
0,0,0.0431
0,0,4.248
0,0,0.9431
0,0,0
0,0,0
0,0.0102,5.2294
0,5.213,52.326
0,10.6051,7.3641
0,0.2662,0
0,0,5.4771
8.7,0,0.0004
5.7526,0,0
5.6379,4.2593,0
0,0,0
5.0855,0,0
0,0,0.3168
0,13.7586,0.0089
0,6.296,0
0.106,0,0
0,0,0
0,0,0
0,22.198,0
0,0.4309,0
0,12.2517,0
0,31.2114,0
0,0.9906,0
0.8579,0,0
4.5195,0,0
0,5.8489,0
0,2.8576,0
0,15.2083,0
6.1395,30.5177,0
0.8532,1.7886,34.7622
9.5748,0,7.756
10.5717,0.3827,0.1793
4.6105,0,0
0,22.4393,0
20.5572,5.5006,0
0.3336,0,4.8113
36.4622,0,5.1368
5.634,0,17.0819
0,0,0.0013
1.0649,0,0.8075
0.1109,0,3.1135
3.5002,1.7068,4.0175
0,20.8967,1.1965
0.4391,1.691,0
0,0.0978,0
0,0,0
0,0,10.6119
0,0,0.391
0,0,0.8252
0.8621,0.0042,0
5.6613,10.878,0.1032
0,0,0
0,0,3.4487
0.2161,0,0
13.4469,18.4276,3.0044
12.4793,0,17.0943
7.0475,13.0104,0
9.9496,4.7491,1.0807
4.1783,2.0044,0
0.3134,0.3023,6.7019
0.4281,4.1149,0.4738
0,0.0072,0
0,12.3821,12.5581
0.9497,55.2789,0
0,1.7081,0
0.2106,4.5388,0
0,0,3.2138
2.3713,0,0.0062
1.6563,0.2383,16.4474
0,17.1634,0.3483
0.5231,2.0126,16.2206
2.2314,4.3445,0
0,21.1894,0
0.6663,3.5498,0
16.0256,0.1458,0
22.6237,0,5.7079
0,0.0318,0
4.1095,0,5.2203
16.4936,3.5055,3.132
0,0.0045,0
0,0,0
0,0,5.8385
0.4358,1.4274,0.042
0,3.5455,7.5136
0,13.2394,0.0018
0,26.5671,0
0,0.2247,0
0,0,0
0.4325,0.2294,0
11.2474,6.1115,0
0,7.7617,0
3.3544,0.6674,0.6709
0.7361,0,0.0007
3.4955,0,0.5718
7.8885,3.3201,3.4498
0.5513,14.2135,0
0,20.2966,17.3043
0,0,1.4178
0,0,73.2379
0,0,2.8095
4.5389,0,0
0,0,5.9033
0,1.9177,0.0097
0,3.1757,0
2.242,0.2444,6.5061
43.7643,0,0
6.7823,0,0
0,0,0
0,0.0393,0
0,0,0
0,3.4774,0
0,5.5295,0
0,0,0.1824
18.3443,0,4.11
15.5675,0,0
0,3.4501,0.2613
0,0.1936,0
0,0.8979,0
5.2518,0.1805,0
13.1721,1.7559,6.2257
0,5.7108,0.0149
0.108,0,0
0,9.3765,2.4582
0,15.7689,6.4834
0,0.0371,0
0.316,0,2.3315
0.8623,4.567,0
0,0,0
0,0,0.056
15.914,0,2.5009
8.1495,0,0.0579
0,0,0
0,8.3122,0
0,0.7643,0
0,0.6751,0
1.0711,0,0
0,22.1252,6.0314
0,0,0.1244
0,0,0
0.2113,0,0
0,0,0
0.2144,0,0.0716
0,0,0
0,0.0001,0
0,0,0
18.0957,2.7345,0
14.472,21.0471,47.4434
0,0,29.7931
0,0.1615,0
0,0.0588,0.3617
0,18.9076,0.1927
0,0.2645,0
0,0,34.1879
5.0602,0,1.5976
0,0,0
0,15.7771,0
0.9661,0.5897,0.5542
0,0,0
4.7742,0,0.2034
24.31,0,0
0.1086,0,0
1.8389,0.2612,0
5.8987,11.7805,0
1.5064,2.0194,0
0,0.0383,0
0.8877,0,0
0,0,0
2.1418,0,0
6.434,0,1.2581
6.4494,0,0.0046
0.2101,0.1825,0
0.417,1.0206,0
0,25.0601,0
0,0,0.0783
0,0,10.9338
0,2.915,7.5334
1.0444,1.3074,0.251
0,0.9995,1.7288
0.9594,4.3854,1.2286
7.5442,9.6414,0
0.9988,1.1869,0
0,3.3924,0
0,0,0
0,0.2958,0
0,2.727,0
0,0,0
3.0508,0,0
21.2279,20.6735,0
16.932,22.0728,0
0,3.3499,0
0.8784,0,0
0.5518,0,0
1.26,12.455,0
2.4,0,0.443
0,3.3251,7.1967
44.7481,13.0546,4.3661
108.5474,23.6182,5.3794
6.2185,2.4199,2.0244
1.6038,0,0
0,0,0
0.1059,5.8352,7.6953
0,0.0222,5.3847
0,0.264,3.7235
0,0,0.3351
0,0,4.6336
0,0,0.2676
42.3002,4.3035,2.8748
0.3196,0,1.5181
3.9592,0,0
1.3719,0,9.4004
0,0,13.1852
0.9477,1.3454,0
1.3885,0,3.0447
0,0,0
0,0,0
0,0,0
0,0,0
0.2178,0,0
0,27.3007,0
0,0,0
0,0,0.0015
0,0,0
0,0,3.187
0,0,10.0112
0,0,0
0,0,5.0583
0.438,0,2.7449
0,0.1011,0
0,5.8166,14.1829
0,0,0.1139
0,0,0
0.9904,4.534,0.0648
0,0,7.8825
0,36.6959,0
0.3208,0.0579,0
0,0,18.5613
0,0.0784,0.0355
0,0,0
0,0.6245,2.4789
0.3131,0.6436,0
27.5636,0,0.0799
2.891,0.0088,0.7494
0,0,0
0,0,0
0,0,0
